index,mom-rob,mom-dif-rob,MACD-rob,RSI-rob,Vol-rob,Amo-rob,VWR-rob,VUS-rob,STD-rob,ATR-rob,Vot-Idea,Equal,PCA-like,Gradual,SVM,DecTree,XGBoost,LSTM,GRU,LSTM-Att,GRU-Att
10,000027.SZ,600776.SH,000816.SZ,000778.SZ,600768.SH,000985.SZ,600802.SH,000620.SZ,600622.SH,000036.SZ,000538.SZ,000985.SZ,000985.SZ,000016.SZ,000016.SZ,000016.SZ,600855.SH,000016.SZ,000016.SZ,000016.SZ,000016.SZ
11,000069.SZ,000652.SZ,600078.SH,600847.SH,600697.SH,600711.SH,600702.SH,001914.SZ,600280.SH,600802.SH,600756.SH,600731.SH,600731.SH,000017.SZ,000017.SZ,000017.SZ,000892.SZ,000017.SZ,000017.SZ,000017.SZ,000017.SZ
12,000402.SZ,000833.SZ,600061.SH,000692.SZ,600612.SH,600731.SH,000626.SZ,600801.SH,001896.SZ,000900.SZ,000727.SZ,600173.SH,600173.SH,000019.SZ,000019.SZ,000019.SZ,600624.SH,000019.SZ,000019.SZ,000019.SZ,000019.SZ
13,600082.SH,000629.SZ,000881.SZ,600113.SH,000596.SZ,000055.SZ,600298.SH,600257.SH,000797.SZ,000698.SZ,000513.SZ,600711.SH,600711.SH,000020.SZ,000020.SZ,000020.SZ,600811.SH,000020.SZ,000020.SZ,000020.SZ,000020.SZ
14,600750.SH,000967.SZ,600197.SH,000695.SZ,600007.SH,600798.SH,600645.SH,000812.SZ,600712.SH,000536.SZ,000573.SZ,600778.SH,600798.SH,000021.SZ,000021.SZ,000021.SZ,000759.SZ,000021.SZ,000021.SZ,000021.SZ,000021.SZ
15,600168.SH,600239.SH,000155.SZ,000985.SZ,600080.SH,600173.SH,600714.SH,600854.SH,000802.SZ,600705.SH,600163.SH,000055.SZ,000055.SZ,000025.SZ,000025.SZ,000025.SZ,000504.SZ,000025.SZ,000025.SZ,000025.SZ,000025.SZ
16,600282.SH,600279.SH,600185.SH,600246.SH,600783.SH,600800.SH,600848.SH,000709.SZ,600644.SH,000517.SZ,000651.SZ,600798.SH,600778.SH,000026.SZ,000026.SZ,000026.SZ,000560.SZ,000026.SZ,000026.SZ,000026.SZ,000026.SZ
17,000619.SZ,000897.SZ,000025.SZ,000932.SZ,000413.SZ,600778.SH,000803.SZ,000802.SZ,600698.SH,600881.SH,600287.SH,600800.SH,600800.SH,000027.SZ,000027.SZ,000027.SZ,600789.SH,000027.SZ,000027.SZ,000027.SZ,000027.SZ
18,600825.SH,600258.SH,600621.SH,000753.SZ,600857.SH,600857.SH,000802.SZ,600176.SH,600828.SH,000751.SZ,000629.SZ,600857.SH,600857.SH,000028.SZ,000028.SZ,000028.SZ,600094.SH,000028.SZ,000028.SZ,000028.SZ,000028.SZ
19,600179.SH,000798.SZ,000998.SZ,600748.SH,000668.SZ,600802.SH,000902.SZ,600818.SH,000006.SZ,600868.SH,600172.SH,600802.SH,600802.SH,000029.SZ,000029.SZ,000029.SZ,000901.SZ,000029.SZ,000029.SZ,000029.SZ,000029.SZ
20,000932.SZ,000767.SZ,000635.SZ,600111.SH,600605.SH,600768.SH,000567.SZ,000881.SZ,000676.SZ,000507.SZ,000599.SZ,600137.SH,600137.SH,000030.SZ,000030.SZ,000030.SZ,600733.SH,000030.SZ,000030.SZ,000030.SZ,000030.SZ
21,600760.SH,000539.SZ,600118.SH,600828.SH,600897.SH,600137.SH,600388.SH,000623.SZ,000078.SZ,000040.SZ,600703.SH,600768.SH,600768.SH,000031.SZ,000031.SZ,000031.SZ,000929.SZ,000031.SZ,000031.SZ,000031.SZ,000031.SZ
22,000789.SZ,600857.SH,600754.SH,000605.SZ,000911.SZ,600182.SH,600780.SH,600600.SH,000068.SZ,600828.SH,000962.SZ,600182.SH,600182.SH,000032.SZ,000032.SZ,000032.SZ,000017.SZ,000032.SZ,000032.SZ,000032.SZ,000032.SZ
23,000709.SZ,600606.SH,000860.SZ,000910.SZ,600694.SH,600261.SH,600735.SH,000060.SZ,600705.SH,600617.SH,000988.SZ,600231.SH,600231.SH,000034.SZ,000034.SZ,000034.SZ,000757.SZ,000034.SZ,000034.SZ,000034.SZ,000034.SZ
24,000088.SZ,600238.SH,000633.SZ,000507.SZ,600283.SH,600080.SH,000948.SZ,600648.SH,000545.SZ,600016.SH,000066.SZ,600080.SH,600080.SH,000035.SZ,000035.SZ,000035.SZ,600118.SH,000035.SZ,000035.SZ,000035.SZ,000035.SZ
25,600173.SH,600897.SH,000010.SZ,000965.SZ,000782.SZ,600790.SH,600773.SH,600162.SH,000536.SZ,600076.SH,600837.SH,000509.SZ,000509.SZ,000036.SZ,000036.SZ,000036.SZ,600257.SH,000036.SZ,000036.SZ,000036.SZ,000036.SZ
26,000509.SZ,600657.SH,600892.SH,600751.SH,600731.SH,600231.SH,000019.SZ,000035.SZ,600796.SH,600180.SH,600736.SH,600790.SH,600790.SH,000037.SZ,000037.SZ,000037.SZ,600222.SH,000037.SZ,000037.SZ,000037.SZ,000037.SZ
27,600180.SH,600103.SH,600268.SH,601607.SH,600279.SH,000509.SZ,000818.SZ,000663.SZ,000157.SZ,000912.SZ,600278.SH,600261.SH,600261.SH,000039.SZ,000039.SZ,000039.SZ,600684.SH,000039.SZ,000039.SZ,000039.SZ,000039.SZ
28,600774.SH,600619.SH,600854.SH,000798.SZ,600711.SH,600735.SH,600113.SH,600152.SH,000890.SZ,600708.SH,600848.SH,600815.SH,600815.SH,000040.SZ,000040.SZ,000040.SZ,000670.SZ,000040.SZ,000040.SZ,000040.SZ,000040.SZ
29,600500.SH,600197.SH,000559.SZ,600681.SH,000526.SZ,600815.SH,000011.SZ,600824.SH,000803.SZ,000523.SZ,600162.SH,600735.SH,600293.SH,000042.SZ,000042.SZ,000042.SZ,600793.SH,000042.SZ,000042.SZ,000042.SZ,000042.SZ
30,000078.SZ,600055.SH,600714.SH,600893.SH,600193.SH,600191.SH,000062.SZ,000056.SZ,000036.SZ,600339.SH,600105.SH,600293.SH,600735.SH,000045.SZ,000045.SZ,000045.SZ,000040.SZ,000045.SZ,000045.SZ,000045.SZ,000045.SZ
31,000659.SZ,600639.SH,000006.SZ,000564.SZ,600793.SH,600293.SH,600801.SH,600236.SH,000520.SZ,000407.SZ,600698.SH,600191.SH,600191.SH,000048.SZ,000048.SZ,000048.SZ,000931.SZ,000048.SZ,000048.SZ,000048.SZ,000048.SZ
32,600138.SH,600038.SH,600297.SH,600105.SH,600113.SH,600333.SH,600784.SH,000813.SZ,000509.SZ,000890.SZ,000705.SZ,600333.SH,600333.SH,000049.SZ,000049.SZ,000049.SZ,600080.SH,000049.SZ,000049.SZ,000049.SZ,000049.SZ
33,600722.SH,000030.SZ,000657.SZ,600328.SH,600051.SH,000668.SZ,000739.SZ,600101.SH,000716.SZ,000838.SZ,000859.SZ,000545.SZ,000545.SZ,000050.SZ,000050.SZ,000050.SZ,600734.SH,000050.SZ,000050.SZ,000050.SZ,000050.SZ
34,000802.SZ,000058.SZ,000700.SZ,000895.SZ,600876.SH,000545.SZ,000655.SZ,600281.SH,600710.SH,000692.SZ,000408.SZ,000691.SZ,000691.SZ,000055.SZ,000055.SZ,000055.SZ,600280.SH,000055.SZ,000055.SZ,000055.SZ,000055.SZ
35,600279.SH,600422.SH,000530.SZ,600127.SH,000731.SZ,600051.SH,600238.SH,000573.SZ,000566.SZ,600792.SH,000779.SZ,600693.SH,600693.SH,000056.SZ,000056.SZ,000056.SZ,600130.SH,000056.SZ,000056.SZ,000056.SZ,000056.SZ
36,600293.SH,600308.SH,000731.SZ,000953.SZ,600191.SH,600681.SH,600359.SH,000639.SZ,000407.SZ,000533.SZ,600188.SH,000692.SZ,000692.SZ,000058.SZ,000058.SZ,000058.SZ,000069.SZ,000058.SZ,000058.SZ,000058.SZ,000058.SZ
